ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:06:02.933+00:00,0.107,9.0,4727.0,40.1,1425.0,7001.0,30.0,18.9,49199
2026-09-06T18:06:04.011+00:00,1.185,13.0,4727.0,42.73,1777.0,7001.0,30.0,12.5,49201
2026-09-06T18:06:05.082+00:00,2.256,13.0,4727.0,42.54,1777.0,7001.0,30.0,8.9,49223
2026-09-06T18:06:06.169+00:00,3.343,13.0,4727.0,42.83,1777.0,7001.0,30.0,12.2,49248
2026-09-06T18:06:07.242+00:00,4.416,14.0,4727.0,43.29,1777.0,7001.0,30.0,8.8,49225
2026-09-06T18:06:08.309+00:00,5.482,13.0,4752.0,42.87,1830.0,7001.0,30.0,18.4,48922
2026-09-06T18:06:09.416+00:00,6.59,10.0,4954.0,55.11,2820.0,14801.0,31.0,29.5,48877
2026-09-06T18:06:10.589+00:00,7.762,13.0,12770.0,57.29,2820.0,14801.0,31.0,27.6,48041
2026-09-06T18:06:11.713+00:00,8.887,38.0,12770.0,58.96,2835.0,14801.0,31.0,20.5,48016
2026-09-06T18:06:12.872+00:00,10.045,4.0,15837.0,58.02,2775.0,14801.0,31.0,19.9,47331
2026-09-06T18:06:14.034+00:00,11.208,4.0,15039.0,55.16,2782.0,14801.0,31.0,21.1,44499
2026-09-06T18:06:15.165+00:00,12.339,12.0,15553.0,55.65,2790.0,14801.0,31.0,27.9,44501
2026-09-06T18:06:16.372+00:00,13.546,1.0,15555.0,45.9,1095.0,7001.0,30.0,24.4,44357
2026-09-06T18:06:17.601+00:00,14.775,0.0,15555.0,32.39,562.0,7001.0,30.0,21.3,44363
2026-09-06T18:06:18.774+00:00,15.948,0.0,15555.0,30.41,457.0,7001.0,30.0,21.1,44378
2026-09-06T18:06:20.000+00:00,17.174,0.0,15555.0,31.3,352.0,7001.0,30.0,29.5,44351
2026-09-06T18:06:21.127+00:00,18.301,0.0,15555.0,29.98,255.0,7001.0,30.0,37.9,44490
2026-09-06T18:06:22.391+00:00,19.565,1.0,15555.0,32.22,292.0,7001.0,30.0,22.1,44420
2026-09-06T18:06:23.494+00:00,20.668,0.0,15555.0,30.43,420.0,7001.0,30.0,23.4,44492
2026-09-06T18:06:24.613+00:00,21.787,2.0,15555.0,31.49,517.0,7001.0,30.0,16.9,44492
2026-09-06T18:06:25.811+00:00,22.985,4.0,15649.0,31.82,502.0,7001.0,30.0,18.2,44507
2026-09-06T18:06:27.028+00:00,24.202,0.0,15649.0,30.04,255.0,7001.0,30.0,21.8,44459
2026-09-06T18:06:29.136+00:00,26.31,2.0,14967.0,32.42,397.0,7001.0,30.0,23.7,47917
2026-09-06T18:06:30.241+00:00,27.415,3.0,14969.0,42.79,1492.0,7001.0,30.0,27.0,50529
2026-09-06T18:06:31.330+00:00,28.504,0.0,14969.0,33.16,997.0,7001.0,30.0,25.6,50458
2026-09-06T18:06:32.426+00:00,29.6,5.0,14969.0,32.17,742.0,7001.0,30.0,18.7,50495
2026-09-06T18:06:33.522+00:00,30.696,3.0,14969.0,37.57,1395.0,7001.0,30.0,13.1,50597
2026-09-06T18:06:34.599+00:00,31.773,4.0,14969.0,33.75,832.0,7001.0,30.0,19.9,50570
2026-09-06T18:06:35.713+00:00,32.887,8.0,14969.0,34.7,802.0,7001.0,30.0,15.7,50549
2026-09-06T18:06:36.878+00:00,34.051,2.0,14969.0,33.23,547.0,7001.0,30.0,15.9,50512
2026-09-06T18:06:37.983+00:00,35.157,2.0,14969.0,33.71,772.0,7001.0,30.0,13.6,50537
2026-09-06T18:06:39.070+00:00,36.244,3.0,14969.0,32.83,607.0,7001.0,30.0,16.4,50594
2026-09-06T18:06:40.172+00:00,37.345,2.0,14975.0,31.73,345.0,7001.0,30.0,18.6,50575
2026-09-06T18:06:41.285+00:00,38.459,2.0,14975.0,32.66,802.0,7001.0,30.0,16.2,50613
2026-09-06T18:06:42.496+00:00,39.67,0.0,14975.0,34.42,360.0,7001.0,30.0,21.4,50641
2026-09-06T18:06:43.584+00:00,40.757,5.0,14975.0,31.0,660.0,7001.0,30.0,15.7,50616
2026-09-06T18:06:44.670+00:00,41.844,3.0,14975.0,34.69,630.0,7001.0,30.0,12.7,50766
2026-09-06T18:06:45.733+00:00,42.907,96.0,14975.0,206.74,2842.0,14801.0,47.0,16.7,50769
2026-09-06T18:06:46.826+00:00,44.0,95.0,14977.0,282.32,2850.0,14801.0,48.0,13.5,50753
2026-09-06T18:06:48.044+00:00,45.218,99.0,14977.0,318.62,2835.0,14801.0,54.0,19.3,50734
2026-09-06T18:06:49.187+00:00,46.361,99.0,14977.0,322.66,2835.0,14801.0,54.0,14.5,50762
2026-09-06T18:06:50.268+00:00,47.442,93.0,14977.0,316.6,2842.0,14801.0,54.0,17.6,50732
2026-09-06T18:06:51.358+00:00,48.532,99.0,14977.0,324.53,2850.0,14801.0,55.0,16.5,50722
2026-09-06T18:06:52.490+00:00,49.664,97.0,14977.0,327.96,2857.0,14801.0,54.0,17.1,50748
2026-09-06T18:06:53.592+00:00,50.766,99.0,14977.0,328.31,2842.0,14801.0,54.0,20.2,50757
2026-09-06T18:06:54.684+00:00,51.857,99.0,14977.0,320.42,2850.0,14801.0,53.0,14.9,50775
