ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:07:14.028+00:00,0.113,13.0,746.0,57.57,2820.0,15001.0,34.0,21.1,52225
2026-09-06T18:07:15.097+00:00,1.182,13.0,746.0,57.36,2820.0,15001.0,34.0,18.3,52165
2026-09-06T18:07:16.165+00:00,2.25,13.0,746.0,52.24,1987.0,7001.0,33.0,10.8,52167
2026-09-06T18:07:17.246+00:00,3.331,13.0,746.0,43.83,1905.0,7001.0,33.0,12.2,52176
2026-09-06T18:07:18.319+00:00,4.404,13.0,746.0,44.23,1860.0,7001.0,33.0,7.3,52193
2026-09-06T18:07:19.399+00:00,5.484,13.0,920.0,44.16,1890.0,7001.0,33.0,15.8,51985
2026-09-06T18:07:20.487+00:00,6.572,13.0,973.0,56.79,2820.0,14801.0,34.0,16.7,51810
2026-09-06T18:07:21.586+00:00,7.671,28.0,8789.0,59.82,2887.0,14801.0,34.0,14.8,50993
2026-09-06T18:07:22.715+00:00,8.8,22.0,11669.0,60.8,2887.0,14801.0,34.0,23.9,50790
2026-09-06T18:07:23.808+00:00,9.893,1.0,14979.0,65.76,2790.0,14801.0,34.0,32.2,50746
2026-09-06T18:07:24.887+00:00,10.972,90.0,14981.0,287.65,2835.0,14801.0,49.0,17.3,50755
2026-09-06T18:07:25.976+00:00,12.061,95.0,14981.0,299.45,2835.0,14801.0,53.0,11.7,50765
2026-09-06T18:07:27.080+00:00,13.165,93.0,14981.0,310.78,2835.0,14801.0,55.0,24.8,50701
2026-09-06T18:07:28.182+00:00,14.268,93.0,14981.0,313.67,2842.0,14801.0,52.0,19.0,50733
2026-09-06T18:07:29.280+00:00,15.365,93.0,14981.0,309.38,2857.0,14801.0,54.0,10.5,50754
2026-09-06T18:07:30.383+00:00,16.468,93.0,14981.0,307.02,2857.0,14801.0,52.0,11.8,50808
2026-09-06T18:07:31.530+00:00,17.615,99.0,14981.0,323.61,2850.0,14801.0,56.0,21.7,50803
2026-09-06T18:07:32.628+00:00,18.714,99.0,14981.0,323.14,2857.0,14801.0,56.0,10.9,50822
2026-09-06T18:07:33.704+00:00,19.789,99.0,14981.0,314.86,2857.0,14801.0,54.0,16.4,50819
2026-09-06T18:07:34.797+00:00,20.882,99.0,14981.0,303.26,2857.0,14801.0,54.0,12.5,50826
2026-09-06T18:07:35.903+00:00,21.988,99.0,14981.0,299.97,2857.0,14801.0,54.0,12.2,50836
2026-09-06T18:07:36.990+00:00,23.075,94.0,14981.0,284.94,2857.0,14801.0,48.0,14.8,50803
2026-09-06T18:07:38.137+00:00,24.222,92.0,14981.0,282.84,2857.0,14801.0,48.0,28.4,50766
2026-09-06T18:07:39.354+00:00,25.439,37.0,14983.0,165.85,2865.0,14801.0,43.0,65.7,50788
2026-09-06T18:07:40.580+00:00,26.666,46.0,14983.0,141.81,2872.0,14801.0,42.0,68.3,50734
2026-09-06T18:07:41.727+00:00,27.813,49.0,14983.0,148.72,2872.0,14801.0,43.0,63.4,50764
2026-09-06T18:07:42.811+00:00,28.896,51.0,14983.0,140.24,2872.0,14801.0,41.0,64.3,50840
2026-09-06T18:07:43.890+00:00,29.976,8.0,14983.0,87.72,2880.0,14801.0,37.0,7.1,50847
