ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:07:51.032+00:00,0.108,12.0,746.0,57.64,2812.0,15001.0,36.0,24.8,52380
2026-09-06T18:07:52.100+00:00,1.177,12.0,746.0,57.51,2812.0,15001.0,36.0,5.7,52399
2026-09-06T18:07:53.176+00:00,2.253,13.0,746.0,53.01,1995.0,7001.0,36.0,10.4,52432
2026-09-06T18:07:54.253+00:00,3.33,13.0,746.0,44.34,1905.0,7001.0,35.0,14.1,52371
2026-09-06T18:07:55.326+00:00,4.403,13.0,746.0,44.32,1845.0,7001.0,35.0,13.3,52422
2026-09-06T18:07:56.411+00:00,5.488,13.0,763.0,44.09,1807.0,7001.0,35.0,11.5,52117
2026-09-06T18:07:57.494+00:00,6.571,12.0,973.0,58.01,2812.0,14801.0,36.0,14.4,52067
2026-09-06T18:07:58.587+00:00,7.663,40.0,8789.0,61.32,2842.0,14801.0,36.0,14.4,51261
2026-09-06T18:07:59.686+00:00,8.762,12.0,14973.0,62.03,2805.0,14801.0,36.0,29.8,50905
2026-09-06T18:08:00.767+00:00,9.843,96.0,14981.0,224.05,2842.0,14801.0,56.0,22.0,50872
2026-09-06T18:08:01.844+00:00,10.92,94.0,14981.0,301.58,2842.0,14801.0,57.0,12.2,50856
2026-09-06T18:08:02.919+00:00,11.996,94.0,14981.0,311.07,2827.0,14801.0,52.0,10.1,50911
2026-09-06T18:08:03.997+00:00,13.073,99.0,14981.0,322.66,2827.0,14801.0,57.0,14.9,50897
2026-09-06T18:08:05.078+00:00,14.154,92.0,14981.0,315.17,2842.0,14801.0,58.0,15.6,50890
2026-09-06T18:08:06.154+00:00,15.23,96.0,14981.0,329.04,2835.0,14801.0,59.0,15.4,50879
2026-09-06T18:08:07.288+00:00,16.364,92.0,14981.0,327.11,2850.0,14801.0,57.0,14.3,50859
2026-09-06T18:08:08.381+00:00,17.458,99.0,14981.0,328.55,2850.0,14801.0,59.0,16.0,50836
2026-09-06T18:08:09.469+00:00,18.545,99.0,14981.0,326.23,2857.0,14801.0,57.0,26.5,50752
2026-09-06T18:08:10.558+00:00,19.634,90.0,14981.0,314.8,2857.0,14801.0,56.0,17.4,50747
2026-09-06T18:08:11.685+00:00,20.761,100.0,14981.0,310.27,2857.0,14801.0,57.0,21.2,50731
2026-09-06T18:08:12.799+00:00,21.875,100.0,14981.0,298.07,2857.0,14801.0,54.0,17.1,50756
2026-09-06T18:08:14.113+00:00,23.189,50.0,14983.0,214.74,2865.0,14801.0,44.0,66.9,50679
2026-09-06T18:08:15.305+00:00,24.382,53.0,14983.0,151.74,2865.0,14801.0,44.0,70.0,50736
2026-09-06T18:08:16.508+00:00,25.584,49.0,14983.0,151.88,2865.0,14801.0,43.0,68.7,50735
2026-09-06T18:08:17.651+00:00,26.727,56.0,14983.0,158.54,2865.0,14801.0,43.0,61.2,50741
2026-09-06T18:08:18.754+00:00,27.83,50.0,14983.0,159.52,2865.0,14801.0,44.0,58.6,50778
2026-09-06T18:08:19.809+00:00,28.885,35.0,14983.0,146.41,2865.0,14801.0,42.0,52.4,50795
2026-09-06T18:08:20.887+00:00,29.963,11.0,14983.0,73.27,2880.0,14801.0,39.0,13.5,50738
