ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:08:27.844+00:00,0.095,8.0,746.0,58.36,2812.0,15001.0,38.0,14.7,52319
2026-09-06T18:08:28.924+00:00,1.175,12.0,746.0,57.86,2812.0,15001.0,38.0,14.0,52319
2026-09-06T18:08:29.995+00:00,2.245,13.0,746.0,53.51,1972.0,7001.0,37.0,13.0,52315
2026-09-06T18:08:31.076+00:00,3.327,10.0,746.0,43.52,1665.0,7001.0,37.0,11.6,52291
2026-09-06T18:08:32.151+00:00,4.401,12.0,746.0,44.2,1822.0,7001.0,37.0,9.9,52294
2026-09-06T18:08:33.225+00:00,5.476,14.0,746.0,44.23,1807.0,15001.0,37.0,13.4,52321
2026-09-06T18:08:34.308+00:00,6.558,9.0,973.0,56.9,2797.0,14801.0,37.0,12.3,52001
2026-09-06T18:08:35.394+00:00,7.644,39.0,8789.0,61.55,2872.0,14801.0,38.0,15.0,51155
2026-09-06T18:08:36.507+00:00,8.758,21.0,14971.0,67.08,2880.0,14801.0,38.0,36.9,50773
2026-09-06T18:08:37.583+00:00,9.834,95.0,14979.0,196.11,2835.0,14801.0,55.0,20.2,50757
2026-09-06T18:08:38.655+00:00,10.906,99.0,14981.0,298.13,2835.0,14801.0,58.0,12.0,50788
2026-09-06T18:08:39.721+00:00,11.972,94.0,14981.0,310.91,2842.0,14801.0,59.0,14.8,50766
2026-09-06T18:08:40.813+00:00,13.064,99.0,14981.0,318.65,2827.0,14801.0,60.0,19.1,50738
2026-09-06T18:08:41.897+00:00,14.148,99.0,14981.0,328.48,2835.0,14801.0,60.0,19.4,50688
2026-09-06T18:08:42.994+00:00,15.244,99.0,14981.0,319.16,2835.0,14801.0,58.0,13.5,50781
2026-09-06T18:08:44.059+00:00,16.31,99.0,14981.0,319.5,2850.0,14801.0,61.0,21.4,50753
2026-09-06T18:08:45.158+00:00,17.408,94.0,14981.0,328.65,2850.0,14801.0,54.0,18.1,50801
2026-09-06T18:08:46.249+00:00,18.5,92.0,14981.0,311.5,2857.0,14801.0,55.0,11.9,50828
2026-09-06T18:08:47.324+00:00,19.574,93.0,14981.0,319.0,2857.0,14801.0,54.0,13.2,50831
2026-09-06T18:08:48.407+00:00,20.658,99.0,14981.0,312.46,2857.0,14801.0,58.0,11.7,50863
2026-09-06T18:08:49.537+00:00,21.788,74.0,14983.0,291.32,2857.0,14801.0,53.0,19.1,50885
2026-09-06T18:08:50.715+00:00,22.966,54.0,14983.0,163.4,2865.0,14801.0,47.0,70.6,50821
2026-09-06T18:08:51.871+00:00,24.122,51.0,14983.0,153.34,2865.0,14801.0,46.0,62.6,50841
2026-09-06T18:08:53.046+00:00,25.297,49.0,14983.0,154.49,2865.0,14801.0,44.0,62.7,50871
2026-09-06T18:08:54.112+00:00,26.362,6.0,14983.0,122.7,2880.0,14801.0,41.0,42.3,50870
2026-09-06T18:08:55.226+00:00,27.476,8.0,14983.0,59.21,2880.0,14801.0,40.0,14.8,50874
