ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:09:01.829+00:00,0.08,13.0,746.0,58.58,2812.0,15001.0,39.0,19.1,52360
2026-09-06T18:09:02.900+00:00,1.151,12.0,746.0,58.47,2812.0,15001.0,39.0,9.1,52406
2026-09-06T18:09:03.975+00:00,2.225,10.0,746.0,53.0,1905.0,7001.0,38.0,5.2,52395
2026-09-06T18:09:05.047+00:00,3.297,13.0,746.0,44.9,1890.0,7001.0,38.0,12.1,52372
2026-09-06T18:09:06.118+00:00,4.369,13.0,746.0,44.66,1852.0,7001.0,38.0,16.9,52383
2026-09-06T18:09:07.200+00:00,5.45,14.0,746.0,44.62,1815.0,15001.0,38.0,12.5,52189
2026-09-06T18:09:08.273+00:00,6.524,12.0,973.0,57.59,2812.0,14801.0,38.0,12.0,52035
2026-09-06T18:09:09.365+00:00,7.615,37.0,8789.0,61.35,2872.0,14801.0,38.0,13.9,51145
2026-09-06T18:09:10.460+00:00,8.711,17.0,14971.0,62.9,2880.0,14801.0,38.0,35.6,50755
2026-09-06T18:09:11.548+00:00,9.798,98.0,14979.0,197.94,2835.0,14801.0,56.0,18.1,50784
2026-09-06T18:09:12.642+00:00,10.892,95.0,14981.0,302.16,2835.0,14801.0,57.0,17.2,50802
2026-09-06T18:09:13.747+00:00,11.998,97.0,14981.0,315.67,2835.0,14801.0,60.0,14.9,50832
2026-09-06T18:09:14.810+00:00,13.061,94.0,14981.0,317.59,2835.0,14801.0,58.0,13.6,50845
2026-09-06T18:09:15.861+00:00,14.112,99.0,14981.0,321.97,2835.0,14801.0,59.0,9.3,50872
2026-09-06T18:09:16.960+00:00,15.21,92.0,14981.0,317.35,2850.0,14801.0,55.0,16.2,50853
2026-09-06T18:09:18.033+00:00,16.284,99.0,14981.0,330.45,2850.0,14801.0,60.0,18.6,50838
2026-09-06T18:09:19.153+00:00,17.404,91.0,14981.0,330.02,2835.0,14801.0,60.0,21.8,50785
2026-09-06T18:09:20.245+00:00,18.496,99.0,14981.0,324.13,2857.0,14801.0,58.0,13.4,50845
2026-09-06T18:09:21.396+00:00,19.646,99.0,14983.0,321.4,2857.0,14801.0,59.0,21.6,50774
2026-09-06T18:09:22.561+00:00,20.811,51.0,14983.0,156.6,2865.0,14801.0,47.0,71.3,50706
2026-09-06T18:09:23.709+00:00,21.959,62.0,14983.0,162.86,2857.0,14801.0,47.0,62.5,50774
2026-09-06T18:09:24.815+00:00,23.065,60.0,14983.0,157.22,2857.0,14801.0,46.0,64.8,50690
2026-09-06T18:09:25.905+00:00,24.155,59.0,14983.0,157.68,2865.0,14801.0,45.0,59.4,50695
2026-09-06T18:09:26.971+00:00,25.221,7.0,14983.0,59.67,2880.0,14801.0,40.0,12.5,50767
