ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:10:17.926+00:00,0.131,11.0,14996.0,40.43,1365.0,7001.0,39.0,16.0,50809
2026-09-06T18:10:19.030+00:00,1.235,10.0,14996.0,40.97,1207.0,7001.0,38.0,9.1,50826
2026-09-06T18:10:20.109+00:00,2.314,13.0,14996.0,38.99,960.0,7001.0,38.0,14.4,50838
2026-09-06T18:10:21.233+00:00,3.438,2.0,14996.0,38.3,802.0,7001.0,38.0,16.3,48019
2026-09-06T18:10:22.342+00:00,4.547,52.0,14996.0,37.89,1042.0,7001.0,38.0,24.0,45631
2026-09-06T18:10:23.482+00:00,5.687,99.0,14996.0,250.22,2835.0,14801.0,59.0,31.2,45609
2026-09-06T18:10:24.574+00:00,6.779,94.0,14996.0,319.88,2835.0,14801.0,59.0,18.7,45664
2026-09-06T18:10:25.662+00:00,7.867,93.0,14996.0,313.97,2842.0,14801.0,60.0,11.8,45666
2026-09-06T18:10:26.839+00:00,9.044,93.0,14996.0,325.2,2827.0,14801.0,61.0,21.3,45587
2026-09-06T18:10:27.905+00:00,10.11,99.0,14996.0,331.09,2835.0,14801.0,61.0,16.0,45606
2026-09-06T18:10:29.002+00:00,11.207,99.0,14996.0,331.4,2842.0,14801.0,62.0,12.4,45626
2026-09-06T18:10:30.063+00:00,12.268,97.0,14996.0,335.95,2842.0,14801.0,62.0,12.8,45636
2026-09-06T18:10:31.142+00:00,13.347,92.0,14996.0,323.35,2842.0,14801.0,60.0,12.4,45606
2026-09-06T18:10:32.206+00:00,14.411,93.0,14996.0,315.35,2857.0,14801.0,58.0,13.9,45621
2026-09-06T18:10:33.295+00:00,15.5,99.0,14996.0,317.45,2857.0,14801.0,60.0,10.8,45660
2026-09-06T18:10:34.442+00:00,16.646,91.0,14996.0,303.1,2857.0,14801.0,58.0,13.6,45652
2026-09-06T18:10:35.534+00:00,17.739,99.0,14996.0,290.92,2857.0,14801.0,57.0,17.7,45644
2026-09-06T18:10:36.606+00:00,18.811,99.0,14996.0,289.38,2857.0,14801.0,57.0,14.3,45633
2026-09-06T18:10:37.732+00:00,19.936,48.0,14996.0,178.5,2857.0,14801.0,47.0,58.4,45631
2026-09-06T18:10:38.875+00:00,21.08,49.0,14996.0,156.94,2865.0,14801.0,47.0,60.2,45663
2026-09-06T18:10:39.973+00:00,22.178,49.0,14996.0,161.25,2857.0,14801.0,47.0,68.2,45623
2026-09-06T18:10:41.080+00:00,23.285,10.0,14996.0,134.37,2865.0,14801.0,43.0,65.9,45659
2026-09-06T18:10:42.140+00:00,24.345,6.0,14996.0,60.49,2880.0,14801.0,41.0,9.8,45655
