ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:11:13.207+00:00,0.13,10.0,14996.0,42.23,1312.0,7001.0,40.0,14.4,45421
2026-09-06T18:11:14.306+00:00,1.229,8.0,14996.0,41.96,1507.0,7001.0,39.0,8.4,45408
2026-09-06T18:11:15.375+00:00,2.299,9.0,14996.0,41.17,1290.0,7001.0,39.0,14.1,45388
2026-09-06T18:11:16.473+00:00,3.396,3.0,14996.0,38.34,997.0,7001.0,39.0,16.9,47944
2026-09-06T18:11:17.551+00:00,4.474,95.0,14996.0,121.49,2265.0,14801.0,56.0,17.9,45598
2026-09-06T18:11:18.639+00:00,5.563,96.0,14996.0,302.22,2842.0,14801.0,58.0,21.1,45608
2026-09-06T18:11:19.733+00:00,6.657,99.0,14996.0,312.47,2842.0,14801.0,61.0,16.8,45620
2026-09-06T18:11:20.811+00:00,7.735,96.0,14996.0,313.85,2835.0,14801.0,61.0,16.3,45606
2026-09-06T18:11:21.888+00:00,8.811,97.0,14996.0,329.61,2820.0,14801.0,64.0,20.6,45599
2026-09-06T18:11:22.955+00:00,9.878,96.0,14996.0,329.51,2827.0,14801.0,63.0,16.2,45634
2026-09-06T18:11:24.046+00:00,10.97,92.0,14996.0,331.85,2835.0,14801.0,60.0,21.1,45631
2026-09-06T18:11:25.141+00:00,12.064,99.0,14996.0,325.04,2842.0,14801.0,61.0,14.2,45630
2026-09-06T18:11:26.217+00:00,13.141,99.0,14996.0,327.94,2842.0,14801.0,60.0,11.2,45625
2026-09-06T18:11:27.272+00:00,14.195,99.0,14996.0,323.6,2850.0,14801.0,62.0,13.9,45589
2026-09-06T18:11:28.373+00:00,15.296,99.0,14996.0,319.03,2850.0,14801.0,60.0,15.4,45602
2026-09-06T18:11:29.475+00:00,16.399,99.0,14996.0,313.17,2857.0,14801.0,59.0,10.9,45622
2026-09-06T18:11:30.633+00:00,17.556,58.0,14996.0,193.24,2865.0,14801.0,48.0,62.7,45589
2026-09-06T18:11:31.782+00:00,18.705,58.0,14996.0,157.44,2865.0,14801.0,47.0,62.5,45587
2026-09-06T18:11:32.929+00:00,19.853,39.0,15001.0,163.21,2865.0,14801.0,46.0,67.6,45523
2026-09-06T18:11:34.011+00:00,20.935,7.0,15001.0,131.6,2865.0,14801.0,43.0,55.1,45579
2026-09-06T18:11:35.116+00:00,22.039,8.0,15001.0,60.99,2880.0,14801.0,42.0,9.8,45581
