ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:11:37.977+00:00,0.079,7.0,15001.0,41.98,1320.0,7001.0,40.0,10.3,45571
2026-09-06T18:11:39.071+00:00,1.173,9.0,15001.0,42.02,1395.0,7001.0,40.0,9.5,45616
2026-09-06T18:11:40.128+00:00,2.229,7.0,15001.0,41.26,1260.0,7001.0,39.0,17.9,45580
2026-09-06T18:11:41.243+00:00,3.344,3.0,15001.0,38.04,562.0,7001.0,39.0,20.2,47890
2026-09-06T18:11:42.343+00:00,4.445,97.0,15001.0,65.81,1140.0,7001.0,52.0,21.8,45789
2026-09-06T18:11:43.433+00:00,5.535,97.0,15001.0,299.08,2827.0,14801.0,60.0,15.9,45835
2026-09-06T18:11:44.515+00:00,6.617,93.0,15001.0,314.48,2835.0,14801.0,61.0,14.8,45840
2026-09-06T18:11:45.581+00:00,7.683,97.0,15001.0,316.37,2820.0,14801.0,61.0,12.7,45830
2026-09-06T18:11:46.667+00:00,8.769,93.0,15001.0,315.8,2835.0,14801.0,59.0,12.3,45827
2026-09-06T18:11:47.752+00:00,9.854,92.0,15001.0,314.92,2842.0,14801.0,61.0,10.5,45828
2026-09-06T18:11:48.834+00:00,10.935,92.0,15001.0,329.17,2835.0,14801.0,59.0,23.2,45820
2026-09-06T18:11:49.934+00:00,12.035,99.0,15001.0,331.26,2835.0,14801.0,62.0,10.3,45835
2026-09-06T18:11:51.014+00:00,13.116,99.0,15001.0,332.01,2842.0,14801.0,61.0,15.5,45813
2026-09-06T18:11:52.095+00:00,14.197,99.0,15001.0,321.67,2850.0,14801.0,60.0,10.3,45822
2026-09-06T18:11:53.242+00:00,15.343,57.0,15001.0,256.9,2857.0,14801.0,50.0,45.7,45840
2026-09-06T18:11:54.366+00:00,16.467,53.0,15001.0,167.13,2857.0,14801.0,47.0,59.4,45845
2026-09-06T18:11:55.467+00:00,17.569,62.0,15001.0,163.24,2865.0,14801.0,49.0,59.6,45857
2026-09-06T18:11:56.651+00:00,18.753,49.0,15001.0,159.68,2865.0,14801.0,48.0,62.4,45835
2026-09-06T18:11:57.732+00:00,19.834,6.0,15001.0,108.41,2872.0,14801.0,42.0,27.7,45841
2026-09-06T18:11:58.810+00:00,20.911,5.0,15001.0,60.87,2880.0,14801.0,41.0,9.1,45838
