ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:12:13.538+00:00,0.094,8.0,764.0,42.95,1552.0,7001.0,39.0,6.3,52380
2026-09-06T18:12:14.614+00:00,1.171,12.0,764.0,44.28,1695.0,7001.0,39.0,11.8,52381
2026-09-06T18:12:15.682+00:00,2.238,12.0,764.0,44.88,1725.0,7001.0,39.0,9.8,52380
2026-09-06T18:12:16.753+00:00,3.309,8.0,764.0,42.63,1485.0,7001.0,38.0,6.4,52364
2026-09-06T18:12:17.826+00:00,4.382,12.0,764.0,44.27,1740.0,7001.0,39.0,8.7,52358
2026-09-06T18:12:18.893+00:00,5.449,13.0,764.0,44.69,1740.0,7001.0,38.0,7.9,52347
2026-09-06T18:12:19.966+00:00,6.522,8.0,991.0,56.7,2805.0,14801.0,39.0,12.3,52033
2026-09-06T18:12:21.043+00:00,7.599,12.0,991.0,58.7,2812.0,14801.0,39.0,12.6,51989
2026-09-06T18:12:22.144+00:00,8.7,9.0,11599.0,61.36,2880.0,14801.0,39.0,19.7,44857
2026-09-06T18:12:23.253+00:00,9.809,34.0,11599.0,62.45,2880.0,14801.0,39.0,29.0,44784
2026-09-06T18:12:24.339+00:00,10.896,37.0,11599.0,62.56,2820.0,14801.0,39.0,17.9,44777
2026-09-06T18:12:25.427+00:00,11.983,9.0,14095.0,58.81,2812.0,14801.0,39.0,17.3,44764
2026-09-06T18:12:26.514+00:00,13.07,8.0,14955.0,46.22,2017.0,7001.0,38.0,15.5,44529
2026-09-06T18:12:27.593+00:00,14.15,9.0,14955.0,42.97,1740.0,7001.0,38.0,13.9,44521
2026-09-06T18:12:28.669+00:00,15.225,4.0,14955.0,40.16,1267.0,7001.0,38.0,13.2,44526
2026-09-06T18:12:29.811+00:00,16.367,11.0,14955.0,41.81,1537.0,7001.0,38.0,14.2,44522
2026-09-06T18:12:30.887+00:00,17.443,9.0,14955.0,40.97,1072.0,7001.0,38.0,23.5,44607
2026-09-06T18:12:31.966+00:00,18.522,4.0,14955.0,37.78,1020.0,7001.0,37.0,11.9,44541
2026-09-06T18:12:33.063+00:00,19.619,4.0,14955.0,40.81,1357.0,7001.0,37.0,13.4,44601
2026-09-06T18:12:34.169+00:00,20.725,0.0,14955.0,36.13,705.0,7001.0,37.0,25.4,44593
2026-09-06T18:12:35.248+00:00,21.804,8.0,14977.0,43.18,1620.0,7001.0,38.0,29.6,44451
2026-09-06T18:12:36.329+00:00,22.885,92.0,14977.0,130.04,2857.0,14801.0,43.0,19.6,44464
2026-09-06T18:12:37.424+00:00,23.98,92.0,14977.0,175.31,2857.0,14801.0,44.0,17.5,44444
2026-09-06T18:12:38.504+00:00,25.06,95.0,14977.0,181.96,2857.0,14801.0,45.0,11.2,44456
2026-09-06T18:12:39.600+00:00,26.156,95.0,14977.0,193.01,2857.0,14801.0,48.0,16.5,44478
2026-09-06T18:12:40.711+00:00,27.267,95.0,14977.0,194.51,2857.0,14801.0,48.0,16.4,44471
2026-09-06T18:12:41.805+00:00,28.361,95.0,14977.0,203.66,2857.0,14801.0,54.0,19.0,44467
2026-09-06T18:12:42.903+00:00,29.459,97.0,14977.0,214.27,2857.0,14801.0,52.0,12.1,44493
2026-09-06T18:12:43.987+00:00,30.543,97.0,14977.0,214.83,2857.0,14801.0,51.0,12.9,44503
2026-09-06T18:12:45.092+00:00,31.648,96.0,14977.0,227.18,2857.0,14801.0,53.0,15.6,44507
2026-09-06T18:12:46.174+00:00,32.73,95.0,14977.0,227.42,2857.0,14801.0,58.0,11.3,44505
2026-09-06T18:12:47.258+00:00,33.815,93.0,14977.0,227.71,2857.0,14801.0,56.0,14.2,44486
2026-09-06T18:12:48.413+00:00,34.969,31.0,14977.0,187.06,2857.0,14801.0,44.0,49.3,44476
2026-09-06T18:12:49.678+00:00,36.235,39.0,14977.0,111.25,2872.0,14801.0,43.0,60.4,44518
2026-09-06T18:12:50.937+00:00,37.493,38.0,14977.0,113.94,2872.0,14801.0,43.0,66.0,44483
2026-09-06T18:12:52.203+00:00,38.759,33.0,14977.0,113.16,2872.0,14801.0,42.0,64.9,44494
2026-09-06T18:12:53.357+00:00,39.914,37.0,14977.0,114.33,2872.0,14801.0,42.0,63.1,44535
2026-09-06T18:12:54.490+00:00,41.046,39.0,14977.0,113.71,2872.0,14801.0,43.0,60.5,44540
2026-09-06T18:12:55.560+00:00,42.116,5.0,14977.0,78.08,2535.0,14801.0,39.0,39.8,44547
2026-09-06T18:12:56.636+00:00,43.192,11.0,14977.0,49.01,2130.0,7001.0,39.0,8.4,44539
