ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:13:03.306+00:00,0.125,12.0,764.0,52.6,2820.0,15001.0,39.0,7.5,52396
2026-09-06T18:13:04.397+00:00,1.216,8.0,764.0,58.46,2805.0,15001.0,39.0,5.9,52397
2026-09-06T18:13:05.473+00:00,2.291,12.0,764.0,58.11,2812.0,15001.0,39.0,6.9,52397
2026-09-06T18:13:06.547+00:00,3.365,12.0,764.0,46.8,1927.0,7001.0,38.0,14.4,52384
2026-09-06T18:13:07.617+00:00,4.436,8.0,764.0,42.73,1620.0,7001.0,38.0,6.1,52382
2026-09-06T18:13:08.703+00:00,5.521,12.0,764.0,46.43,1785.0,15001.0,38.0,11.5,52325
2026-09-06T18:13:09.772+00:00,6.591,12.0,991.0,59.0,2812.0,14801.0,38.0,19.7,51967
2026-09-06T18:13:10.859+00:00,7.677,7.0,991.0,58.21,2805.0,14801.0,38.0,20.2,51952
2026-09-06T18:13:11.965+00:00,8.783,12.0,11599.0,60.32,2812.0,14801.0,38.0,18.4,44818
2026-09-06T18:13:13.081+00:00,9.899,30.0,11599.0,61.75,2812.0,14801.0,38.0,25.7,44797
2026-09-06T18:13:14.177+00:00,10.995,14.0,11599.0,61.34,2820.0,14801.0,38.0,23.5,44778
2026-09-06T18:13:15.300+00:00,12.118,14.0,13391.0,58.56,2820.0,14801.0,38.0,14.1,44777
2026-09-06T18:13:16.391+00:00,13.21,27.0,14977.0,62.67,2235.0,14801.0,44.0,22.5,44499
2026-09-06T18:13:17.604+00:00,14.422,95.0,14977.0,176.1,2857.0,14801.0,46.0,26.5,44405
2026-09-06T18:13:18.687+00:00,15.506,95.0,14977.0,184.4,2857.0,14801.0,52.0,14.7,44464
2026-09-06T18:13:19.765+00:00,16.583,95.0,14977.0,183.09,2857.0,14801.0,46.0,10.8,44479
2026-09-06T18:13:20.906+00:00,17.725,95.0,14977.0,195.53,2857.0,14801.0,51.0,19.7,44442
2026-09-06T18:13:22.002+00:00,18.821,95.0,14977.0,204.59,2857.0,14801.0,47.0,18.1,44438
2026-09-06T18:13:23.104+00:00,19.923,93.0,14977.0,215.93,2857.0,14801.0,54.0,19.8,44487
2026-09-06T18:13:24.192+00:00,21.01,95.0,14977.0,213.69,2857.0,14801.0,54.0,15.0,44510
2026-09-06T18:13:25.294+00:00,22.112,93.0,14977.0,212.33,2857.0,14801.0,52.0,12.9,44542
2026-09-06T18:13:26.444+00:00,23.263,92.0,14977.0,229.65,2857.0,14801.0,53.0,20.3,45253
2026-09-06T18:13:27.563+00:00,24.381,94.0,14977.0,231.17,2857.0,14801.0,50.0,23.3,45963
2026-09-06T18:13:28.667+00:00,25.486,94.0,14977.0,244.08,2857.0,14801.0,52.0,18.7,46596
2026-09-06T18:13:29.851+00:00,26.669,39.0,14977.0,194.1,2857.0,14801.0,44.0,36.0,46739
2026-09-06T18:13:31.058+00:00,27.877,37.0,14977.0,110.07,2872.0,14801.0,42.0,65.0,46699
2026-09-06T18:13:32.166+00:00,28.984,19.0,14977.0,105.48,2872.0,14801.0,42.0,66.4,46639
2026-09-06T18:13:33.259+00:00,30.077,4.0,14977.0,59.16,2430.0,14801.0,39.0,15.8,46678
