ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:13:40.485+00:00,0.111,11.0,764.0,50.53,2632.0,15001.0,39.0,13.7,54534
2026-09-06T18:13:41.558+00:00,1.184,12.0,764.0,58.44,2812.0,15001.0,38.0,9.0,54524
2026-09-06T18:13:42.631+00:00,2.257,11.0,764.0,58.47,2812.0,15001.0,38.0,8.6,54503
2026-09-06T18:13:43.713+00:00,3.339,8.0,764.0,43.55,1747.0,7001.0,38.0,12.8,54541
2026-09-06T18:13:44.786+00:00,4.412,12.0,764.0,44.43,1822.0,7001.0,38.0,7.1,54551
2026-09-06T18:13:45.864+00:00,5.49,13.0,764.0,44.9,1792.0,7001.0,38.0,11.8,54538
2026-09-06T18:13:46.931+00:00,6.557,8.0,991.0,57.19,2805.0,14801.0,38.0,13.0,54209
2026-09-06T18:13:48.017+00:00,7.643,72.0,11167.0,60.19,2812.0,14801.0,38.0,10.2,52349
2026-09-06T18:13:49.109+00:00,8.735,9.0,11599.0,61.62,2880.0,14801.0,38.0,20.0,47081
2026-09-06T18:13:50.214+00:00,9.84,31.0,11599.0,63.7,2880.0,14801.0,38.0,20.6,47049
2026-09-06T18:13:51.304+00:00,10.93,14.0,11599.0,61.44,2820.0,14801.0,38.0,24.0,46991
2026-09-06T18:13:52.388+00:00,12.014,31.0,14957.0,59.23,2805.0,14801.0,38.0,23.1,46895
2026-09-06T18:13:53.452+00:00,13.078,94.0,14977.0,97.27,2437.0,14801.0,43.0,25.0,46683
2026-09-06T18:13:54.543+00:00,14.169,93.0,14977.0,175.58,2857.0,14801.0,50.0,19.5,46740
2026-09-06T18:13:55.637+00:00,15.263,93.0,14977.0,176.92,2857.0,14801.0,50.0,14.9,46742
2026-09-06T18:13:56.738+00:00,16.364,94.0,14977.0,189.2,2857.0,14801.0,46.0,20.6,46707
2026-09-06T18:13:57.828+00:00,17.454,95.0,14977.0,201.33,2857.0,14801.0,53.0,11.3,46716
2026-09-06T18:13:58.936+00:00,18.562,95.0,14977.0,204.24,2857.0,14801.0,48.0,17.0,46734
2026-09-06T18:14:00.157+00:00,19.783,95.0,14977.0,218.25,2857.0,14801.0,56.0,24.3,46729
2026-09-06T18:14:01.263+00:00,20.889,96.0,14977.0,220.84,2857.0,14801.0,50.0,14.7,46719
2026-09-06T18:14:02.326+00:00,21.952,96.0,14977.0,221.21,2857.0,14801.0,53.0,14.6,46725
2026-09-06T18:14:03.392+00:00,23.018,95.0,14977.0,225.43,2857.0,14801.0,56.0,12.2,46762
2026-09-06T18:14:04.485+00:00,24.111,93.0,14977.0,221.81,2857.0,14801.0,48.0,10.3,46764
2026-09-06T18:14:05.566+00:00,25.192,1.0,14977.0,161.86,2872.0,14801.0,41.0,21.5,46687
2026-09-06T18:14:06.653+00:00,26.279,7.0,14977.0,58.97,2880.0,14801.0,40.0,16.2,46661
2026-09-06T18:14:07.945+00:00,27.571,28.0,14977.0,77.07,2872.0,14801.0,42.0,48.6,46700
2026-09-06T18:14:09.229+00:00,28.855,36.0,14977.0,111.68,2872.0,14801.0,42.0,62.2,46676
2026-09-06T18:14:10.298+00:00,29.924,29.0,14977.0,108.09,2842.0,14801.0,42.0,64.4,46654
2026-09-06T18:14:11.391+00:00,31.017,1.0,14977.0,69.48,2377.0,14801.0,39.0,20.7,46670
