ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:14:58.391+00:00,0.078,12.0,764.0,54.24,2812.0,15001.0,38.0,10.9,54571
2026-09-06T18:14:59.484+00:00,1.171,12.0,764.0,58.09,2812.0,15001.0,38.0,13.0,54596
2026-09-06T18:15:00.558+00:00,2.245,9.0,764.0,57.73,2797.0,15001.0,38.0,17.0,54576
2026-09-06T18:15:01.625+00:00,3.312,13.0,764.0,45.6,1882.0,7001.0,37.0,14.8,54556
2026-09-06T18:15:02.698+00:00,4.385,12.0,764.0,44.36,1845.0,7001.0,37.0,7.4,54574
2026-09-06T18:15:03.764+00:00,5.451,16.0,764.0,45.36,1822.0,15001.0,38.0,10.2,54444
2026-09-06T18:15:04.860+00:00,6.547,12.0,991.0,58.44,2812.0,14801.0,38.0,10.8,54257
2026-09-06T18:15:05.937+00:00,7.624,12.0,991.0,58.13,2812.0,14801.0,38.0,16.9,54264
2026-09-06T18:15:07.032+00:00,8.719,12.0,11599.0,60.26,2842.0,14801.0,38.0,17.7,47095
2026-09-06T18:15:08.112+00:00,9.799,34.0,11599.0,62.49,2880.0,14801.0,38.0,18.8,47077
2026-09-06T18:15:09.202+00:00,10.889,14.0,11599.0,61.7,2820.0,14801.0,38.0,24.1,47034
2026-09-06T18:15:10.304+00:00,11.991,13.0,14923.0,58.37,2820.0,14801.0,38.0,20.3,46895
2026-09-06T18:15:11.374+00:00,13.061,0.0,14977.0,55.22,1897.0,7001.0,37.0,33.0,46738
2026-09-06T18:15:12.437+00:00,14.124,92.0,14977.0,162.03,2857.0,14801.0,43.0,17.4,46735
2026-09-06T18:15:13.536+00:00,15.223,94.0,14977.0,180.87,2857.0,14801.0,48.0,15.8,46771
2026-09-06T18:15:14.610+00:00,16.297,94.0,14977.0,177.8,2857.0,14801.0,46.0,13.1,46765
2026-09-06T18:15:15.717+00:00,17.404,94.0,14977.0,194.43,2857.0,14801.0,47.0,14.1,46759
2026-09-06T18:15:16.821+00:00,18.508,95.0,14977.0,205.19,2857.0,14801.0,53.0,15.2,46751
2026-09-06T18:15:17.888+00:00,19.576,95.0,14977.0,207.02,2857.0,14801.0,49.0,11.7,46745
2026-09-06T18:15:18.966+00:00,20.653,95.0,14977.0,210.53,2857.0,14801.0,48.0,12.8,46767
2026-09-06T18:15:20.043+00:00,21.73,94.0,14977.0,216.24,2857.0,14801.0,48.0,12.4,46762
2026-09-06T18:15:21.109+00:00,22.796,94.0,14977.0,227.08,2857.0,14801.0,48.0,20.8,46694
2026-09-06T18:15:22.410+00:00,24.097,36.0,14977.0,191.13,2857.0,14801.0,43.0,40.7,46705
2026-09-06T18:15:23.713+00:00,25.4,39.0,14977.0,107.71,2872.0,14801.0,42.0,68.6,46723
2026-09-06T18:15:24.798+00:00,26.485,36.0,14977.0,105.83,2835.0,14801.0,41.0,64.0,46713
2026-09-06T18:15:25.887+00:00,27.574,4.0,14977.0,59.47,2392.0,14801.0,38.0,9.6,46723
