ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:16:22.860+00:00,0.1,4.0,14977.0,38.15,1087.0,7001.0,37.0,26.5,46585
2026-09-06T18:16:23.940+00:00,1.18,4.0,14977.0,37.25,1402.0,7001.0,37.0,15.8,46628
2026-09-06T18:16:25.040+00:00,2.279,2.0,14977.0,38.26,1117.0,7001.0,36.0,14.3,46618
2026-09-06T18:16:26.129+00:00,3.368,9.0,14977.0,37.71,855.0,7001.0,37.0,16.5,44041
2026-09-06T18:16:27.299+00:00,4.538,95.0,14977.0,141.37,2865.0,14801.0,43.0,27.3,43955
2026-09-06T18:16:28.389+00:00,5.628,95.0,14977.0,180.99,2857.0,14801.0,45.0,16.7,43993
2026-09-06T18:16:29.472+00:00,6.711,95.0,14977.0,188.88,2857.0,14801.0,46.0,13.6,44016
2026-09-06T18:16:30.563+00:00,7.802,95.0,14977.0,200.91,2857.0,14801.0,53.0,15.4,44035
2026-09-06T18:16:31.670+00:00,8.909,95.0,14977.0,205.06,2857.0,14801.0,49.0,19.6,44001
2026-09-06T18:16:32.764+00:00,10.004,93.0,14977.0,203.81,2857.0,14801.0,51.0,12.4,43998
2026-09-06T18:16:33.826+00:00,11.066,94.0,14977.0,214.12,2857.0,14801.0,53.0,13.5,44043
2026-09-06T18:16:34.922+00:00,12.161,95.0,14977.0,224.1,2857.0,14801.0,56.0,17.7,43997
2026-09-06T18:16:36.000+00:00,13.24,95.0,14977.0,221.2,2857.0,14801.0,54.0,17.4,43985
2026-09-06T18:16:37.078+00:00,14.318,92.0,14977.0,225.91,2857.0,14801.0,50.0,16.1,43977
2026-09-06T18:16:38.161+00:00,15.4,94.0,14977.0,231.2,2857.0,14801.0,49.0,14.5,43967
2026-09-06T18:16:39.249+00:00,16.489,96.0,14977.0,243.53,2857.0,14801.0,54.0,16.4,44013
2026-09-06T18:16:40.521+00:00,17.76,37.0,14977.0,151.71,2865.0,14801.0,43.0,62.6,43998
2026-09-06T18:16:41.747+00:00,18.987,31.0,14977.0,106.79,2872.0,14801.0,42.0,75.2,43993
2026-09-06T18:16:42.825+00:00,20.064,25.0,14977.0,96.46,2820.0,14801.0,41.0,55.2,44019
2026-09-06T18:16:43.902+00:00,21.142,7.0,14977.0,52.72,2265.0,14801.0,38.0,10.3,44061
