ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:16:46.832+00:00,0.139,4.0,14977.0,39.68,1275.0,7001.0,37.0,17.8,44043
2026-09-06T18:16:47.906+00:00,1.212,11.0,14977.0,40.18,1110.0,7001.0,37.0,8.0,44039
2026-09-06T18:16:48.968+00:00,2.274,7.0,14977.0,41.88,1605.0,7001.0,37.0,9.1,44064
2026-09-06T18:16:50.069+00:00,3.376,39.0,14977.0,41.68,1312.0,7001.0,37.0,13.8,41382
2026-09-06T18:16:51.238+00:00,4.544,93.0,14977.0,155.51,2857.0,14801.0,50.0,19.0,41468
2026-09-06T18:16:52.331+00:00,5.638,95.0,14977.0,176.94,2857.0,14801.0,51.0,22.0,41444
2026-09-06T18:16:53.418+00:00,6.725,94.0,14977.0,186.02,2857.0,14801.0,49.0,20.4,41478
2026-09-06T18:16:54.517+00:00,7.823,94.0,14977.0,190.98,2857.0,14801.0,46.0,12.1,41487
2026-09-06T18:16:55.612+00:00,8.919,95.0,14977.0,205.95,2857.0,14801.0,48.0,14.4,41495
2026-09-06T18:16:56.752+00:00,10.059,95.0,14977.0,207.34,2857.0,14801.0,47.0,14.8,41476
2026-09-06T18:16:57.866+00:00,11.173,94.0,14977.0,211.17,2857.0,14801.0,47.0,11.7,41475
2026-09-06T18:16:58.946+00:00,12.253,93.0,14977.0,218.31,2857.0,14801.0,51.0,14.7,41509
2026-09-06T18:17:00.140+00:00,13.446,93.0,14977.0,226.09,2857.0,14801.0,54.0,17.4,41509
2026-09-06T18:17:01.241+00:00,14.547,93.0,14977.0,227.46,2857.0,14801.0,49.0,18.0,41494
2026-09-06T18:17:02.346+00:00,15.653,95.0,14977.0,232.48,2857.0,14801.0,49.0,11.4,41492
2026-09-06T18:17:03.564+00:00,16.87,20.0,14977.0,161.98,2857.0,14801.0,43.0,58.8,41522
2026-09-06T18:17:04.864+00:00,18.17,37.0,14977.0,111.15,2872.0,14801.0,43.0,65.4,41520
2026-09-06T18:17:05.957+00:00,19.263,33.0,14977.0,108.78,2835.0,14801.0,42.0,60.3,41507
2026-09-06T18:17:07.032+00:00,20.339,4.0,14977.0,67.48,2437.0,14801.0,39.0,17.3,41469
