ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:17:36.387+00:00,0.075,0.0,14977.0,39.26,1290.0,7001.0,38.0,8.6,38761
2026-09-06T18:17:37.476+00:00,1.164,3.0,14977.0,38.51,1095.0,7001.0,38.0,13.6,38751
2026-09-06T18:17:38.549+00:00,2.237,7.0,14977.0,39.51,1057.0,7001.0,38.0,9.1,38750
2026-09-06T18:17:39.642+00:00,3.33,0.0,14977.0,37.57,645.0,7001.0,37.0,17.3,38789
2026-09-06T18:17:40.746+00:00,4.434,94.0,14977.0,126.82,2857.0,14801.0,48.0,18.6,38815
2026-09-06T18:17:41.825+00:00,5.513,94.0,14977.0,175.1,2857.0,14801.0,51.0,15.2,38802
2026-09-06T18:17:42.918+00:00,6.605,94.0,14977.0,179.59,2857.0,14801.0,50.0,11.2,38789
2026-09-06T18:17:44.022+00:00,7.71,94.0,14977.0,187.82,2857.0,14801.0,46.0,20.6,38811
2026-09-06T18:17:45.107+00:00,8.795,96.0,14977.0,203.94,2857.0,14801.0,50.0,16.2,38811
2026-09-06T18:17:46.207+00:00,9.895,94.0,14977.0,207.02,2857.0,14801.0,49.0,18.9,38816
2026-09-06T18:17:47.313+00:00,11.001,94.0,14977.0,216.68,2857.0,14801.0,53.0,16.2,38808
2026-09-06T18:17:48.410+00:00,12.098,94.0,14977.0,225.19,2857.0,14801.0,58.0,17.7,38785
2026-09-06T18:17:49.498+00:00,13.185,95.0,14977.0,226.15,2857.0,14801.0,51.0,24.7,38788
2026-09-06T18:17:50.636+00:00,14.323,32.0,14977.0,210.29,2857.0,14801.0,45.0,28.5,38788
2026-09-06T18:17:51.833+00:00,15.52,35.0,14977.0,106.44,2865.0,14801.0,43.0,63.5,38754
2026-09-06T18:17:53.039+00:00,16.726,36.0,14977.0,112.33,2857.0,14801.0,43.0,59.7,38756
2026-09-06T18:17:54.132+00:00,17.82,3.0,14977.0,98.14,2857.0,14801.0,41.0,60.4,38788
2026-09-06T18:17:55.221+00:00,18.909,5.0,14977.0,49.01,2212.0,14801.0,39.0,12.7,38818
