ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:18:10.432+00:00,0.093,12.0,764.0,44.44,1785.0,7001.0,38.0,40.2,54396
2026-09-06T18:18:11.530+00:00,1.19,10.0,764.0,43.15,1515.0,7001.0,37.0,26.4,54429
2026-09-06T18:18:12.604+00:00,2.265,12.0,764.0,44.17,1740.0,7001.0,37.0,8.4,54424
2026-09-06T18:18:13.677+00:00,3.337,9.0,764.0,44.0,1755.0,7001.0,37.0,7.8,54481
2026-09-06T18:18:14.748+00:00,4.409,9.0,764.0,42.28,1545.0,7001.0,37.0,8.4,54461
2026-09-06T18:18:15.818+00:00,5.479,8.0,764.0,42.1,1455.0,7001.0,37.0,15.9,54289
2026-09-06T18:18:16.900+00:00,6.56,7.0,991.0,55.59,2805.0,14801.0,38.0,10.4,54098
2026-09-06T18:18:17.973+00:00,7.634,22.0,5709.0,59.85,2797.0,14801.0,38.0,10.2,53378
2026-09-06T18:18:19.048+00:00,8.708,13.0,7031.0,59.28,2805.0,14801.0,38.0,15.6,53160
2026-09-06T18:18:20.123+00:00,9.784,12.0,7031.0,57.84,2797.0,14801.0,38.0,12.5,53314
2026-09-06T18:18:21.193+00:00,10.854,13.0,7031.0,58.63,2812.0,14801.0,38.0,21.9,53222
2026-09-06T18:18:22.264+00:00,11.925,8.0,7031.0,58.35,2812.0,14801.0,38.0,23.0,53219
2026-09-06T18:18:23.349+00:00,13.009,13.0,7031.0,51.86,1852.0,7001.0,37.0,27.4,53251
2026-09-06T18:18:24.422+00:00,14.082,14.0,7061.0,44.88,1875.0,7001.0,37.0,14.5,53195
2026-09-06T18:18:25.494+00:00,15.155,13.0,7061.0,44.65,1845.0,7001.0,37.0,14.9,53067
2026-09-06T18:18:26.567+00:00,16.228,12.0,7061.0,44.33,1815.0,7001.0,37.0,14.4,53057
2026-09-06T18:18:27.640+00:00,17.301,12.0,7061.0,44.38,1800.0,7001.0,37.0,17.9,53036
2026-09-06T18:18:28.712+00:00,18.373,12.0,7061.0,44.24,1770.0,7001.0,37.0,10.5,53005
2026-09-06T18:18:29.783+00:00,19.443,12.0,7061.0,44.31,1770.0,7001.0,37.0,13.0,53019
2026-09-06T18:18:30.858+00:00,20.519,12.0,7061.0,44.29,1755.0,7001.0,37.0,13.1,52981
2026-09-06T18:18:31.943+00:00,21.604,12.0,7061.0,44.26,1770.0,7001.0,37.0,13.5,53091
2026-09-06T18:18:33.023+00:00,22.684,20.0,8343.0,48.79,2137.0,7001.0,37.0,16.1,53267
2026-09-06T18:18:34.113+00:00,23.774,8.0,8343.0,49.74,1912.0,7001.0,36.0,17.4,53220
2026-09-06T18:18:35.190+00:00,24.851,8.0,8343.0,42.02,1672.0,7001.0,36.0,11.7,53189
2026-09-06T18:18:36.261+00:00,25.922,8.0,8343.0,41.73,1515.0,7001.0,36.0,14.9,53242
2026-09-06T18:18:37.333+00:00,26.994,13.0,8343.0,42.18,1477.0,7001.0,36.0,12.1,53174
2026-09-06T18:18:38.409+00:00,28.07,99.0,8345.0,127.21,2857.0,14801.0,52.0,11.8,53306
2026-09-06T18:18:39.483+00:00,29.144,98.0,8345.0,280.19,2850.0,14801.0,54.0,13.5,53336
2026-09-06T18:18:40.561+00:00,30.221,98.0,8345.0,294.21,2850.0,14801.0,56.0,13.2,53315
2026-09-06T18:18:41.628+00:00,31.289,98.0,8345.0,289.91,2850.0,14801.0,57.0,14.4,53282
2026-09-06T18:18:42.696+00:00,32.356,92.0,8345.0,291.0,2850.0,14801.0,54.0,14.1,53176
2026-09-06T18:18:43.774+00:00,33.435,12.0,8345.0,105.62,2880.0,14801.0,39.0,13.7,53129
2026-09-06T18:18:44.848+00:00,34.508,12.0,8345.0,60.03,2880.0,14801.0,38.0,15.7,53094
2026-09-06T18:18:45.922+00:00,35.583,12.0,8345.0,46.54,1957.0,7001.0,37.0,13.5,53154
2026-09-06T18:18:46.994+00:00,36.654,8.0,8345.0,42.76,1612.0,7001.0,37.0,10.2,53191
2026-09-06T18:18:48.075+00:00,37.736,95.0,8345.0,63.74,1777.0,14801.0,42.0,11.1,53223
2026-09-06T18:18:49.149+00:00,38.809,90.0,8345.0,207.37,2857.0,14801.0,47.0,9.8,53247
2026-09-06T18:18:50.215+00:00,39.876,91.0,8345.0,205.49,2850.0,14801.0,48.0,8.5,53243
2026-09-06T18:18:51.288+00:00,40.949,92.0,8345.0,222.65,2850.0,14801.0,48.0,12.9,53207
2026-09-06T18:18:52.359+00:00,42.02,91.0,8345.0,226.37,2850.0,14801.0,48.0,10.5,53189
2026-09-06T18:18:53.429+00:00,43.09,89.0,8345.0,227.47,2857.0,14801.0,48.0,12.6,53223
2026-09-06T18:18:54.499+00:00,44.159,91.0,8345.0,227.87,2857.0,14801.0,48.0,16.6,53217
2026-09-06T18:18:55.570+00:00,45.23,91.0,8345.0,219.05,2850.0,14801.0,48.0,13.9,53235
2026-09-06T18:18:56.641+00:00,46.302,12.0,8345.0,66.61,2880.0,14801.0,39.0,7.3,53247
