ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:19:03.965+00:00,0.11,7.0,764.0,57.85,2797.0,15001.0,38.0,6.6,54448
2026-09-06T18:19:05.035+00:00,1.18,7.0,764.0,57.47,2812.0,15001.0,38.0,7.3,54438
2026-09-06T18:19:06.113+00:00,2.258,9.0,764.0,51.42,1950.0,7001.0,37.0,10.1,54445
2026-09-06T18:19:07.198+00:00,3.343,13.0,764.0,44.42,1852.0,7001.0,37.0,11.7,54415
2026-09-06T18:19:08.267+00:00,4.412,12.0,764.0,44.35,1807.0,7001.0,37.0,7.0,54421
2026-09-06T18:19:09.339+00:00,5.484,9.0,764.0,41.83,1552.0,7001.0,37.0,11.2,54221
2026-09-06T18:19:10.431+00:00,6.576,12.0,991.0,57.72,2820.0,14801.0,37.0,22.4,54024
2026-09-06T18:19:11.518+00:00,7.663,38.0,5709.0,60.09,2820.0,14801.0,38.0,23.2,53402
2026-09-06T18:19:12.599+00:00,8.744,98.0,8349.0,85.17,2812.0,14801.0,48.0,9.5,53207
2026-09-06T18:19:13.671+00:00,9.816,98.0,8349.0,284.08,2850.0,14801.0,56.0,12.7,53260
2026-09-06T18:19:14.747+00:00,10.892,98.0,8349.0,294.06,2842.0,14801.0,56.0,12.9,53270
2026-09-06T18:19:15.820+00:00,11.965,98.0,8349.0,298.92,2842.0,14801.0,57.0,19.3,53250
2026-09-06T18:19:16.891+00:00,13.036,99.0,8349.0,302.42,2842.0,14801.0,57.0,17.7,53249
2026-09-06T18:19:17.980+00:00,14.125,98.0,8349.0,293.26,2850.0,14801.0,56.0,13.6,53122
2026-09-06T18:19:19.057+00:00,15.202,79.0,8349.0,200.4,2857.0,14801.0,47.0,10.1,53124
2026-09-06T18:19:20.287+00:00,16.432,91.0,8349.0,192.23,2857.0,14801.0,48.0,23.7,53104
2026-09-06T18:19:21.354+00:00,17.499,91.0,8349.0,224.71,2857.0,14801.0,49.0,13.7,53040
2026-09-06T18:19:22.432+00:00,18.577,91.0,8349.0,232.91,2850.0,14801.0,50.0,9.4,53041
2026-09-06T18:19:23.504+00:00,19.649,91.0,8349.0,235.52,2850.0,14801.0,50.0,9.1,53080
2026-09-06T18:19:24.574+00:00,20.719,86.0,8349.0,234.31,2850.0,14801.0,50.0,11.4,53090
2026-09-06T18:19:25.646+00:00,21.791,12.0,8349.0,144.38,2880.0,14801.0,40.0,7.0,53101
2026-09-06T18:19:26.720+00:00,22.865,12.0,8349.0,60.54,2880.0,14801.0,40.0,8.1,53112
