ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:19:33.405+00:00,0.102,11.0,764.0,58.75,2812.0,15001.0,38.0,18.5,54370
2026-09-06T18:19:34.478+00:00,1.175,12.0,764.0,58.46,2812.0,15001.0,38.0,7.1,54364
2026-09-06T18:19:35.562+00:00,2.259,8.0,764.0,43.65,1867.0,7001.0,38.0,8.2,54380
2026-09-06T18:19:36.637+00:00,3.334,8.0,764.0,41.92,1552.0,7001.0,37.0,13.0,54354
2026-09-06T18:19:37.722+00:00,4.419,8.0,764.0,41.85,1470.0,7001.0,37.0,11.1,54379
2026-09-06T18:19:38.808+00:00,5.505,12.0,764.0,41.9,1402.0,7001.0,37.0,10.8,54224
2026-09-06T18:19:39.911+00:00,6.608,13.0,991.0,57.46,2820.0,14801.0,38.0,18.8,54015
2026-09-06T18:19:40.994+00:00,7.691,40.0,7031.0,60.93,2820.0,14801.0,38.0,22.0,53252
2026-09-06T18:19:42.072+00:00,8.769,98.0,8349.0,89.41,2850.0,14801.0,49.0,14.1,53202
2026-09-06T18:19:43.146+00:00,9.843,98.0,8349.0,280.09,2850.0,14801.0,55.0,8.1,53214
2026-09-06T18:19:44.234+00:00,10.93,99.0,8349.0,284.06,2850.0,14801.0,55.0,14.4,53226
2026-09-06T18:19:45.313+00:00,12.01,99.0,8349.0,289.35,2850.0,14801.0,56.0,10.3,53225
2026-09-06T18:19:46.386+00:00,13.083,99.0,8349.0,295.58,2850.0,14801.0,57.0,15.6,53239
2026-09-06T18:19:47.468+00:00,14.165,99.0,8349.0,289.14,2850.0,14801.0,56.0,15.6,53028
2026-09-06T18:19:48.568+00:00,15.265,89.0,8349.0,202.01,2857.0,14801.0,49.0,17.6,53014
2026-09-06T18:19:49.655+00:00,16.352,90.0,8349.0,198.88,2857.0,14801.0,49.0,14.4,53052
2026-09-06T18:19:50.740+00:00,17.437,89.0,8349.0,228.17,2850.0,14801.0,50.0,14.0,53069
2026-09-06T18:19:51.808+00:00,18.505,91.0,8349.0,231.56,2850.0,14801.0,50.0,10.0,53032
2026-09-06T18:19:52.891+00:00,19.588,87.0,8349.0,230.93,2857.0,14801.0,49.0,8.5,53043
2026-09-06T18:19:53.963+00:00,20.66,91.0,8349.0,233.32,2850.0,14801.0,50.0,11.6,53058
2026-09-06T18:19:55.035+00:00,21.732,93.0,8349.0,226.71,2850.0,14801.0,50.0,10.1,53063
2026-09-06T18:19:56.104+00:00,22.801,12.0,8349.0,60.43,2880.0,14801.0,40.0,7.8,53070
