ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:20:02.958+00:00,0.092,12.0,764.0,58.45,2812.0,15001.0,39.0,6.2,54337
2026-09-06T18:20:04.034+00:00,1.168,12.0,764.0,58.59,2812.0,15001.0,39.0,11.1,54381
2026-09-06T18:20:05.109+00:00,2.243,12.0,764.0,52.24,1965.0,7001.0,38.0,9.1,54357
2026-09-06T18:20:06.187+00:00,3.321,12.0,764.0,43.36,1807.0,7001.0,38.0,7.9,54380
2026-09-06T18:20:07.260+00:00,4.394,12.0,764.0,42.68,1560.0,7001.0,38.0,7.0,54357
2026-09-06T18:20:08.330+00:00,5.464,12.0,764.0,44.33,1770.0,7001.0,38.0,8.2,54192
2026-09-06T18:20:09.403+00:00,6.537,9.0,991.0,57.76,2820.0,14801.0,38.0,15.2,53985
2026-09-06T18:20:10.476+00:00,7.61,40.0,7061.0,60.56,2812.0,14801.0,38.0,17.2,53156
2026-09-06T18:20:11.560+00:00,8.694,98.0,8349.0,143.79,2865.0,14801.0,53.0,18.1,53166
2026-09-06T18:20:12.648+00:00,9.782,99.0,8349.0,291.88,2850.0,14801.0,56.0,13.3,53165
2026-09-06T18:20:13.721+00:00,10.855,98.0,8349.0,296.47,2842.0,14801.0,57.0,8.6,53201
2026-09-06T18:20:14.797+00:00,11.931,99.0,8349.0,300.18,2842.0,14801.0,57.0,13.8,53201
2026-09-06T18:20:15.869+00:00,13.003,99.0,8349.0,296.95,2850.0,14801.0,57.0,9.3,53091
2026-09-06T18:20:16.943+00:00,14.077,91.0,8349.0,247.16,2857.0,14801.0,50.0,10.2,53055
2026-09-06T18:20:18.029+00:00,15.163,92.0,8349.0,210.89,2850.0,14801.0,50.0,12.0,53047
2026-09-06T18:20:19.109+00:00,16.243,80.0,8349.0,184.97,2857.0,14801.0,48.0,16.8,53053
2026-09-06T18:20:20.189+00:00,17.323,11.0,8349.0,74.65,2880.0,14801.0,40.0,7.5,53063
