ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:20:27.413+00:00,0.079,12.0,764.0,58.71,2812.0,15001.0,39.0,7.2,54313
2026-09-06T18:20:28.486+00:00,1.152,11.0,764.0,58.59,2812.0,15001.0,39.0,9.0,54317
2026-09-06T18:20:29.560+00:00,2.225,12.0,764.0,45.53,1927.0,7001.0,38.0,6.5,54338
2026-09-06T18:20:30.638+00:00,3.304,12.0,764.0,44.55,1867.0,7001.0,38.0,7.8,54340
2026-09-06T18:20:31.714+00:00,4.38,12.0,764.0,44.62,1822.0,7001.0,38.0,7.4,54306
2026-09-06T18:20:32.804+00:00,5.469,14.0,764.0,44.83,1807.0,7001.0,38.0,16.3,54161
2026-09-06T18:20:33.887+00:00,6.552,13.0,991.0,58.02,2820.0,14801.0,38.0,24.0,53996
2026-09-06T18:20:34.960+00:00,7.626,41.0,7061.0,61.11,2820.0,14801.0,38.0,13.1,53158
2026-09-06T18:20:36.027+00:00,8.692,18.0,8349.0,66.12,2880.0,14801.0,39.0,12.0,53140
2026-09-06T18:20:37.096+00:00,9.761,98.0,8349.0,280.75,2850.0,14801.0,55.0,10.8,53127
2026-09-06T18:20:38.169+00:00,10.834,99.0,8349.0,284.49,2850.0,14801.0,56.0,9.1,53148
2026-09-06T18:20:39.259+00:00,11.924,99.0,8349.0,288.21,2850.0,14801.0,57.0,9.5,53194
2026-09-06T18:20:40.339+00:00,13.005,98.0,8349.0,290.71,2850.0,14801.0,57.0,23.2,53015
2026-09-06T18:20:41.423+00:00,14.089,72.0,8349.0,209.0,2857.0,14801.0,47.0,17.6,53021
2026-09-06T18:20:42.495+00:00,15.161,11.0,8349.0,129.4,2872.0,14801.0,40.0,7.1,53036
2026-09-06T18:20:43.576+00:00,16.242,14.0,8349.0,59.49,2880.0,14801.0,39.0,9.3,53040
