ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:21:17.233+00:00,0.111,8.0,8349.0,57.89,2805.0,14801.0,39.0,17.3,53013
2026-09-06T18:21:18.320+00:00,1.198,12.0,8349.0,45.17,1770.0,7001.0,39.0,10.6,53016
2026-09-06T18:21:19.389+00:00,2.267,12.0,8349.0,43.04,1552.0,7001.0,38.0,9.3,53047
2026-09-06T18:21:20.441+00:00,3.319,12.0,8349.0,44.5,1755.0,7001.0,38.0,9.1,53016
2026-09-06T18:21:21.512+00:00,4.39,91.0,8349.0,173.22,2857.0,14801.0,48.0,14.2,52990
2026-09-06T18:21:22.599+00:00,5.477,90.0,8349.0,209.08,2850.0,14801.0,49.0,22.9,52943
2026-09-06T18:21:23.680+00:00,6.558,90.0,8349.0,224.99,2857.0,14801.0,49.0,17.8,53025
2026-09-06T18:21:24.749+00:00,7.627,92.0,8349.0,225.11,2857.0,14801.0,50.0,14.8,53030
2026-09-06T18:21:25.841+00:00,8.719,91.0,8349.0,228.86,2850.0,14801.0,50.0,11.2,53002
2026-09-06T18:21:26.915+00:00,9.793,89.0,8349.0,227.29,2850.0,14801.0,50.0,10.7,53019
2026-09-06T18:21:27.983+00:00,10.861,91.0,8349.0,224.2,2850.0,14801.0,50.0,13.0,53008
2026-09-06T18:21:29.118+00:00,11.996,13.0,8349.0,60.56,2880.0,14801.0,40.0,15.8,52988
