ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:21:52.217+00:00,0.109,8.0,8349.0,42.47,1590.0,7001.0,39.0,11.6,52173
2026-09-06T18:21:53.287+00:00,1.18,8.0,8349.0,41.9,1470.0,7001.0,39.0,5.2,52198
2026-09-06T18:21:54.359+00:00,2.252,8.0,8349.0,41.78,1395.0,7001.0,39.0,6.5,52212
2026-09-06T18:21:55.431+00:00,3.324,10.0,8349.0,41.64,1350.0,7001.0,39.0,9.8,51227
2026-09-06T18:21:56.511+00:00,4.404,98.0,8349.0,218.88,2850.0,14801.0,57.0,8.9,51209
2026-09-06T18:21:57.599+00:00,5.492,99.0,8349.0,289.63,2850.0,14801.0,58.0,11.3,51191
2026-09-06T18:21:58.671+00:00,6.564,99.0,8349.0,292.72,2850.0,14801.0,59.0,14.7,51190
2026-09-06T18:21:59.745+00:00,7.638,99.0,8349.0,293.17,2850.0,14801.0,59.0,9.5,51219
2026-09-06T18:22:00.820+00:00,8.713,73.0,8349.0,290.08,2850.0,14801.0,53.0,12.0,51101
2026-09-06T18:22:01.903+00:00,9.796,74.0,8349.0,207.31,2857.0,14801.0,49.0,21.8,51064
2026-09-06T18:22:02.971+00:00,10.864,92.0,8349.0,195.65,2857.0,14801.0,51.0,11.0,51088
2026-09-06T18:22:04.045+00:00,11.938,90.0,8349.0,228.94,2857.0,14801.0,52.0,11.0,51117
2026-09-06T18:22:05.127+00:00,13.02,92.0,8349.0,225.72,2857.0,14801.0,51.0,20.5,51060
2026-09-06T18:22:06.201+00:00,14.094,91.0,8349.0,225.44,2857.0,14801.0,52.0,13.2,51102
2026-09-06T18:22:07.271+00:00,15.164,91.0,8349.0,229.02,2850.0,14801.0,52.0,12.7,51038
2026-09-06T18:22:08.352+00:00,16.245,62.0,8349.0,220.72,2857.0,14801.0,48.0,10.3,51042
2026-09-06T18:22:09.427+00:00,17.32,12.0,8349.0,71.94,2880.0,14801.0,42.0,6.4,51066
