ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:22:12.269+00:00,0.11,8.0,8349.0,42.08,1485.0,7001.0,40.0,20.9,51061
2026-09-06T18:22:13.352+00:00,1.193,8.0,8349.0,41.91,1410.0,7001.0,40.0,8.3,51103
2026-09-06T18:22:14.426+00:00,2.268,10.0,8349.0,41.96,1357.0,7001.0,40.0,5.5,51097
2026-09-06T18:22:15.495+00:00,3.336,8.0,8349.0,43.64,1545.0,7001.0,39.0,9.1,50142
2026-09-06T18:22:16.579+00:00,4.421,98.0,8349.0,281.64,2850.0,14801.0,58.0,22.4,50121
2026-09-06T18:22:17.653+00:00,5.495,99.0,8349.0,287.73,2850.0,14801.0,58.0,13.3,50108
2026-09-06T18:22:18.723+00:00,6.564,99.0,8349.0,297.83,2842.0,14801.0,59.0,10.9,50064
2026-09-06T18:22:19.796+00:00,7.637,99.0,8349.0,294.07,2842.0,14801.0,59.0,8.8,50097
2026-09-06T18:22:20.870+00:00,8.712,76.0,8349.0,266.64,2850.0,14801.0,50.0,9.5,49978
2026-09-06T18:22:21.953+00:00,9.794,92.0,8349.0,207.43,2857.0,14801.0,52.0,15.4,49994
2026-09-06T18:22:23.023+00:00,10.864,91.0,8349.0,231.62,2850.0,14801.0,52.0,21.6,49916
2026-09-06T18:22:24.098+00:00,11.94,7.0,8349.0,95.26,2872.0,14801.0,42.0,10.6,49965
2026-09-06T18:22:25.169+00:00,13.01,7.0,8349.0,60.52,2880.0,14801.0,41.0,5.3,49968
