ts,elapsed_s,gpu_util_pct,gpu_mem_used_mib,gpu_power_w,gpu_sm_clock_mhz,gpu_mem_clock_mhz,gpu_temp_c,cpu_util_pct,ram_available_mb
2026-09-06T18:22:27.472+00:00,0.08,8.0,8349.0,42.56,1477.0,7001.0,40.0,6.3,49957
2026-09-06T18:22:28.543+00:00,1.15,12.0,8349.0,44.62,1695.0,7001.0,40.0,5.8,49970
2026-09-06T18:22:29.614+00:00,2.222,12.0,8349.0,45.11,1725.0,7001.0,40.0,6.2,49984
2026-09-06T18:22:30.687+00:00,3.294,80.0,8349.0,57.31,1732.0,7001.0,48.0,11.8,49076
2026-09-06T18:22:31.761+00:00,4.368,99.0,8349.0,266.22,2850.0,14801.0,57.0,19.1,49031
2026-09-06T18:22:32.831+00:00,5.438,98.0,8349.0,289.88,2850.0,14801.0,59.0,9.6,49037
2026-09-06T18:22:33.903+00:00,6.51,99.0,8349.0,289.96,2850.0,14801.0,59.0,19.4,49070
2026-09-06T18:22:34.981+00:00,7.588,99.0,8349.0,292.81,2842.0,14801.0,59.0,14.0,48978
2026-09-06T18:22:36.055+00:00,8.662,62.0,8349.0,244.91,2857.0,14801.0,49.0,11.0,48942
2026-09-06T18:22:37.136+00:00,9.743,12.0,8349.0,96.92,2880.0,14801.0,42.0,11.6,48933
2026-09-06T18:22:38.208+00:00,10.816,11.0,8349.0,61.0,2880.0,14801.0,42.0,5.4,48948
